Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Compost Feedstocks,CompFeed,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Compost Feedstocks,CompFeed,ts_cont,Incoming total solids content - wet,0.3,fraction wet weight,,,,,,,,
Compost Feedstocks,CompFeed,VS_cont,Incoming VS content - dry,0.95,kg VS/kg TS,,,,,,,,
Compost Feedstocks,CompFeed,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,Summed PFAS,Incoming Summed PFAS concentration,30,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#6,Incoming PFAS#6 concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#7,Incoming PFAS#7 concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#8,Incoming PFAS#8 concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#9,Incoming PFAS#9 concentration,0,10e-6g/kg,,,,,,,,
Compost Feedstocks PFAS,CompFeed_PFAS,PFAS#10,Incoming PFAS#10 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product,CompFin,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Compost Final Product,CompFin,ts_cont,Incoming total solids content - wet,0.3,fraction wet weight,,,,,,,,
Compost Final Product,CompFin,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,Summed PFAS,Incoming Summed PFAS concentration,30,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#6,Incoming PFAS#6 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#7,Incoming PFAS#7 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#8,Incoming PFAS#8 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#9,Incoming PFAS#9 concentration,0,10e-6g/kg,,,,,,,,
Compost Final Product PFAS,CompFin_PFAS,PFAS#10,Incoming PFAS#10 concentration,0,10e-6g/kg,,,,,,,,
MSW,MSW,bulk_dens,Incoming bulk density - wet,1000,kg/m3,,,,,,,,
MSW,MSW,ts_cont,Incoming total solids content - wet,0.95,fraction wet weight,,,,,,,,
MSW,MSW,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,Summed PFAS,Incoming Summed PFAS concentration,30,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#6,Incoming PFAS#6 concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#7,Incoming PFAS#7 concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#8,Incoming PFAS#8 concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#9,Incoming PFAS#9 concentration,0,10e-6g/kg,,,,,,,,
MSW PFAS Concentration,MSW_PFAS,PFAS#10,Incoming PFAS#10 concentration,0,10e-6g/kg,,,,,,,,
Contact Water,ContactWater,density,Incoming density,1,kg/L,,,,,,,,
Contact Water,ContactWater,ts_cont,Incoming total solids content - wet,0.01,fraction wet weight,,,,,,,,
Contact Water,ContactWater,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,Summed PFAS,Incoming Summed PFAS concentration,30,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#6,Incoming PFAS#6 concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#7,Incoming PFAS#7 concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#8,Incoming PFAS#8 concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#9,Incoming PFAS#9 concentration,0,10e-6g/kg,,,,,,,,
Contact Water PFAS Concentration,ContactWater_PFAS,PFAS#10,Incoming PFAS#10 concentration,0,10e-6g/kg,,,,,,,,
Contaminated Soil,ContaminatedSoil,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Contaminated Soil,ContaminatedSoil,ts_cont,Incoming total solids content - wet,0.7,fraction wet weight,,,,,,,,
Contaminated Soil,ContaminatedSoil,C_cont,Incoming organic C content - dry,0.05,fraction TS,,,,,,,,
Contaminated Soil PFAS Concentration,ContaminatedSoil_PFAS,Summed PFAS,Incoming Summed PFAS concentration,300,10e-6g/kg,,,,,,,,
Contaminated Soil PFAS Concentration,ContaminatedSoil_PFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
Contaminated Soil PFAS Concentration,ContaminatedSoil_PFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
Contaminated Soil PFAS Concentration,ContaminatedSoil_PFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/kg,,,,,,,,
Contaminated Soil PFAS Concentration,ContaminatedSoil_PFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/kg,,,,,,,,
