Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Incoming Material Properties,IncProp,mass_flow,Incoming mass - wet weight,1000,kg/yr,,,,,,,,
Incoming Material Properties,IncProp,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Incoming Material Properties,IncProp,ts_cont,Incoming total solids content - wet,0.7,fraction wet weight,,,,,,,,
Incoming Material Properties,IncProp,C_cont,Incoming organic C content - dry,0.05,fraction TS,,,,,,,,
PFAS Concentration,IncPFAS,Summed PFAS,Incoming Summed PFAS concentration,300,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#4,Incoming PFAS#4 concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#5,Incoming PFAS#5 concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#6,Incoming PFAS#6 concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#7,Incoming PFAS#7 concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#8,Incoming PFAS#8 concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#9,Incoming PFAS#9 concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFAS#10,Incoming PFAS#10 concentration,0,10e-6g/kg,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,Summed PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFOS,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#4,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#5,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#6,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#7,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#8,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#9,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Soil Log partition coefficient,SoilLogPartCoef,PFAS#10,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Stabilization,Stabil,depth_mix,Depth of contamination to be treated,1,m,,,,,,,,
Stabilization,Stabil,appl_dens,Mass applied per area,20,kg/m2,,,,,,,,
Stabilization,Stabil,add_mass_ratio,Mass of additive per mass of soil,0.02,kg add./kg soil,,,,,,,,
Additive Properties,AddProp,ts_cont,Additive total solids content -wet,1,fraction wet weight,,,,,,,,
Additive Properties,AddProp,bulk_dens,Additive bulk density - wet,1000,kg/m3,,,,,,,,
Additive Properties,AddProp,add_liqsol_part_coef,Additive Log partition coefficient,5,log L/gm TS,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Percipication Data,Percip,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Percipication Data,Percip,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
