Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Incoming Material Properties,IncProp,mass_flow,Incoming mass - wet weight,1000,kg/yr,,,,,,,,
Incoming Material Properties,IncProp,bulk_dens,Incoming bulk density - wet,1000,kg/m3,,,,,,,,
Incoming Material Properties,IncProp,ts_cont,Incoming total solids content - wet,0.95,fraction wet weight,,,,,,,,
Incoming Material Properties,IncProp,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
PFAS Concentration,IncPFAS,PFAS,Incoming PFAS concentration,30,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFNA,Incoming PFNA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFDA,Incoming PFDA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFUnA,Incoming PFUnA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFDS,Incoming PFDS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,N_MeFOSAA,Incoming N_MeFOSAA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,N_EtFOSAA,Incoming N_EtFOSAA concentration,0,10e-6g/kg,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFNA,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFDA,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFUnA,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFDS,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,N_MeFOSAA,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,N_EtFOSAA,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
LF MSW Properties,LFMSW,frac_of_msw,Fraction of PFAS containing waste mixed with MSW,0.01,fraction,,,,,,,,
LF MSW Properties,LFMSW,bulk_dens,MSW bulk density - wet,1000,kg/m3,,,,,,,,
LF MSW Properties,LFMSW,ts_cont,Total solids content of the bulk MSW in the landfill  - wet,0.7,fraction wet weight,,,,,,,,
LF MSW Properties,LFMSW,C_cont,MSW organic C content -dry,0.5,fraction TS,,,,,,,,
LF Water Balance,Water_Blnc,leach_gpad,Leachate generation rate per area,250,gal/acre-day,,,,,,,,
LF Water Balance,Water_Blnc,is_leach_col,Is leachate collected,1,1:TRUE/0:FALSE,,,,,,,,
LF Water Balance,Water_Blnc,frac_leach_col,Fraction of leachate collected,0.998,fraction,,,,,,,,
Evaporation,Evaporation,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
LF Parameters,LF,lf_tot_tons,Cumulative mass of waste disposed,1000000,Mg,,,,,,,,
LF Parameters,LF,lf_area,Constructed area of landfill,100,acre,,,,,,,,
