Category,Dictonary_Name,Parameter,Name,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Incoming Material Properties,IncProp,mass_flow,Incoming mass - wet weight,1000,kg/yr,,,,,,,,
Incoming Material Properties,IncProp,bulk_dens,Incoming bulk density - wet,400,kg/m3,,,,,,,,
Incoming Material Properties,IncProp,ts_cont,Incoming total solids content - wet,0.3,fraction wet weight,,,,,,,,
Incoming Material Properties,IncProp,C_cont,Incoming organic C content - dry,0.5,fraction TS,,,,,,,,
PFAS Concentration,IncPFAS,PFAS,Incoming PFAS concentration,30,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOA,Incoming PFOA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFNA,Incoming PFNA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFDA,Incoming PFDA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFUnA,Incoming PFUnA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFOS,Incoming PFOS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,PFDS,Incoming PFDS concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,N_MeFOSAA,Incoming N_MeFOSAA concentration,0,10e-6g/kg,,,,,,,,
PFAS Concentration,IncPFAS,N_EtFOSAA,Incoming N_EtFOSAA concentration,0,10e-6g/kg,,,,,,,,
Log partition coefficient,LogPartCoef,PFAS,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,Log partition coefficient,2.11,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFNA,Log partition coefficient,2.5,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFDA,Log partition coefficient,2.92,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFUnA,Log partition coefficient,3.47,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFOS,Log partition coefficient,2.68,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFDS,Log partition coefficient,3.66,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,N_MeFOSAA,Log partition coefficient,3.35,log L/gm OC,,,,,,,,
Log partition coefficient,LogPartCoef,N_EtFOSAA,Log partition coefficient,3.49,log L/gm OC,,,,,,,,
Land application,LandApp,appl_dens,Mass applied per area,20,kg/m2,,,,,,,,
Land application,LandApp,depth_mix,Depth of soil mixed,0.1,m,,,,,,,,
Soil Properties,SoilProp,bulk_dens,Soil bulk density - wet,1000,kg/m3,,,,,,,,
Soil Properties,SoilProp,ts_cont,Soil total solids content -wet,0.85,fraction wet weight,,,,,,,,
Soil Properties,SoilProp,C_cont,Soil organic C content -dry,0.05,fraction TS,,,,,,,,
Percipication Data,Percip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Percipication Data,Percip,frac_runoff,Fraction of incoming precipitation to run-off,0.06,fraction,,,,,,,,
Percipication Data,Percip,frac_leach,Fraction of incoming precipitation leached,0.5,fraction,,,,,,,,
